hand,score
22226789,667
22227789,661
22226689,657
22225555,653
22225589,641
22225789,639
22225689,637
22224789,634
22224444,633
22224689,632
22224489,631
22223789,629
22223689,627
22224589,624
22223389,621
22223589,619
22226677,619
22226779,619
22226679,617
22223489,614
12222789,614
22226778,614
22223333,613
12222689,612
22226678,612
12222589,604
22225559,603
12222489,599
22225677,599
22225558,598
22225679,597
22225667,597
22224677,594
12222389,594
22225557,593
22225678,592
22224667,592
22224679,592
11222289,591
22225556,591
22225779,591
22225567,589
22223677,589
22224449,588
22225669,587
22223667,587
22224678,587
22223679,587
22224779,586
22225778,586
22224448,583
22225577,583
22225668,582
22224669,582
22223678,582
22223779,581
22225579,581
22224778,581
22225569,579
22225566,579
22224467,579
22224447,578
11112222,578
22224555,578
22224668,577
22223669,577
22225578,576
22223778,576
22224446,576
12222677,574
22225568,574
22223339,573
22224477,573
22223555,573
12222679,572
22223668,572
22224567,572
12222667,572
22224479,571
22223367,569
22224466,569
22224469,569
22224445,568
22223338,568
22223567,567
12222678,567
22224559,566
12222779,566
22224577,566
22224478,566
22224579,564
22224468,564
22223337,563
22223377,563
22223467,562
22224566,562
12222669,562
22224569,562
22224558,561
12222778,561
22223379,561
22223336,561
22223559,561
22224459,561
22223577,561
22223579,559
22224578,559
22223366,559
22223369,559
12222555,558
22223444,558
12222668,557
22223569,557
22224568,557
22223566,557
22223378,556
22223558,556
22224458,556
22223477,556
22224557,556
22223578,554
22223368,554
22223479,554
22224556,554
22223335,553
22224455,553
22223466,552
22223469,552
22223568,552
12222567,552
22223359,551
22223557,551
22224457,551
22223449,551
22223478,549
22224456,549
22223556,549
22223334,548
22223468,547
12222467,547
22223349,546
22223448,546
12222559,546
22223358,546
12222577,546
12222579,544
22223459,544
12222444,543
22223355,543
12222566,542
12222367,542
12222569,542
12222558,541
22223447,541
12222477,541
22223357,541
22223348,541
12222578,539
12222479,539
11222267,539
22223458,539
22223446,539
22223356,539
12222466,537
12222568,537
12222469,537
12222449,536
12222377,536
22223455,536
22223347,536
12222557,536
22223457,534
12222379,534
22223346,534
12222556,534
12222478,534
22223344,533
11222277,533
22223456,532
12222369,532
12222468,532
12222366,532
12222448,531
11222279,531
22223445,531
12222378,529
11222269,529
11222266,529
12222459,529
12222333,528
11122229,528
12222368,527
12222339,526
11222278,526
22223345,526
12222447,526
12222359,524
12222458,524
11222268,524
12222446,524
11122228,523
12222338,521
11222259,521
12222455,521
12222358,519
12222457,519
12222349,519
11122227,518
12222456,517
11122226,516
12222355,516
12222445,516
12222337,516
11222258,516
11222249,516
12222336,514
12222357,514
12222348,514
11222255,513
12222356,512
11222248,511
11222239,511
11222257,511
11222256,509
12222347,509
11122225,508
12222346,507
11222247,506
12222335,506
12222344,506
11222238,506
22267789,504
11222246,504
11122224,503
11222244,503
22266789,502
12222334,501
11222237,501
12222345,499
11222236,499
11122223,498
11222245,496
11222233,493
11222235,491
22255589,488
22255559,488
11222234,486
22255558,483
22256789,482
55556789,482
22255557,478
22246789,477
55557789,476
22257789,476
22255556,476
22244489,473
22256689,472
55556689,472
22236789,472
22555589,471
22247789,471
22244449,468
22246689,467
22255789,466
22237789,466
22255689,464
22245555,463
22244448,463
22236689,462
44446789,462
22244447,458
22233389,458
22235555,458
12226789,457
22244446,456
22244789,456
44447789,456
22244689,454
22266779,454
44446689,452
22245589,451
22444489,451
12227789,451
45555789,449
22266778,449
22245789,449
25555789,449
22233339,448
22244445,448
44445555,448
12226689,447
25555689,447
45555689,447
22245689,447
22233789,446
22235589,446
22244589,446
44555589,446
22233689,444
22235789,444
35555789,444
22233338,443
12225555,443
33336789,442
22235689,442
35555689,442
22234789,439
22233337,438
22234444,438
22667789,437
22234689,437
22255567,436
22233336,436
22233589,436
22234489,436
44445589,436
33555589,436
33337789,436
55556677,434
55556779,434
24555589,434
22256677,434
55567789,434
22256779,434
44445789,434
22256679,432
55566789,432
55556679,432
33336689,432
44445689,432
12225589,431
22333389,431
22233489,431
22255577,430
22246779,429
22256778,429
23555589,429
34555589,429
22246677,429
15555789,429
55556778,429
22234589,429
24444789,429
12225789,429
33335555,428
22233335,428
22255579,428
22246679,427
12225689,427
22256678,427
55556678,427
15555689,427
24444689,427
22255566,426
22255677,426
22255569,426
22236779,424
22236677,424
12224789,424
34444789,424
22255679,424
22255667,424
22246778,424
12224444,423
22233334,423
22255578,423
12224689,422
22236679,422
22246678,422
55667789,422
34444689,422
12224489,421
22244467,421
22255568,421
22255678,419
22555567,419
12223789,419
44467789,419
22236778,419
24444589,419
22255779,418
44466789,417
22567789,417
22236678,417
12223689,417
33335589,416
11222789,416
22244677,416
33444489,416
22566789,415
22244477,415
44446779,414
22244667,414
11222689,414
33335789,414
44446677,414
12555589,414
22244679,414
22255669,414
14555589,414
12224589,414
34444589,414
22555577,413
22255778,413
22245559,413
22244479,413
11112229,413
11122289,413
44446679,412
22467789,412
33335689,412
44667789,412
22244466,411
12223389,411
22244469,411
22555579,411
22555789,411
22466789,410
33334789,409
12226677,409
22555689,409
14444789,409
13555589,409
23444489,409
25555677,409
22255668,409
23333789,409
22245677,409
12226779,409
22555569,409
12223589,409
44446778,409
22555566,409
45555677,409
22244678,409
22245558,408
22244779,408
22235559,408
33334444,408
22244478,408
11112228,408
33334689,407
14444689,407
11116789,407
23333689,407
45555667,407
22556789,407
25556789,407
45556789,407
12226679,407
25555667,407
22367789,407
25555679,407
44446678,407
22245667,407
22245679,407
45555679,407
22233367,406
22244468,406
22233677,406
11555589,406
11222589,406
22555578,406
33334489,406
25667789,405
22366789,405
45667789,405
12226778,404
22235677,404
33367789,404
12223489,404
22555568,404
22244669,404
35555677,404
22233667,404
22233679,404
44455589,403
22244459,403
22235558,403
22245557,403
11112227,403
22244778,403
12223333,403
44455559,403
22235667,402
25555678,402
12226678,402
45555678,402
35555679,402
22235679,402
35556789,402
33667789,402
33366789,402
22245678,402
35555667,402
22245556,401
11117789,401
11222489,401
45557789,401
11112226,401
22245779,401
25555779,401
22557789,401
25557789,401
45555779,401
22233377,400
24667789,400
35667789,400
22244555,400
14444589,399
22233678,399
33334589,399
22234677,399
23333589,399
22245567,399
22244668,399
22444467,399
44455558,398
22233779,398
22244458,398
22235557,398
44445559,398
22233379,398
45567789,397
45555669,397
11116689,397
22245669,397
22234679,397
22234667,397
25555669,397
25556689,397
22556689,397
25567789,397
44456789,397
22235678,397
35555678,397
45556689,397
22446789,397
11222389,396
22455559,396
22235779,396
22455589,396
22444789,396
22245778,396
11112289,396
35555779,396
35557789,396
22233366,396
25555778,396
22233369,396
22235556,396
45555778,396
25566789,395
22244455,395
23667789,395
45566789,395
34667789,395
22233669,394
44555567,394
22235567,394
12444489,394
23333489,394
22444689,394
33336779,394
22244567,394
44445677,394
33336677,394
22233378,393
22244457,393
44445558,393
44455557,393
11115555,393
22234449,393
22233778,393
12225559,393
11112225,393
22245577,393
22444477,393
35567789,392
12267789,392
24446789,392
44445679,392
22234678,392
44445667,392
35556689,392
35555669,392
33336679,392
45555668,392
25555668,392
44567789,392
22245668,392
22235669,392
22245579,391
22455558,391
35555778,391
22444479,391
22355559,391
22447789,391
22355589,391
44455556,391
22234779,391
44457789,391
22244456,391
22235778,391
22233368,391
22456789,390
35566789,390
44566789,390
22233555,390
12266789,390
13333789,389
22245566,389
22444466,389
13444489,389
15555677,389
22444469,389
22233668,389
33336778,389
12225677,389
22245569,389
24444677,389
12225558,388
22244559,388
22234448,388
44445557,388
33355559,388
44555577,388
33355589,388
11112224,388
22244577,388
22233359,388
22235577,388
24467789,387
15555679,387
22446689,387
12225667,387
35555668,387
24444679,387
24444667,387
15555667,387
13333689,387
22235668,387
22336789,387
44445678,387
34446789,387
12225679,387
33336678,387
22234669,387
44456689,387
15556789,387
44555789,386
22245578,386
22244579,386
24447789,386
22444589,386
22444478,386
11444489,386
22235579,386
44555579,386
44445779,386
22234778,386
22455557,386
44445556,386
22355558,386
15667789,385
24466789,385
22356789,385
22235569,384
44555566,384
22235566,384
22455556,384
22457789,384
22245568,384
55566779,384
12224677,384
33555567,384
22444468,384
22234467,384
44555689,384
44555569,384
34444677,384
44445567,384
22244569,384
22244566,384
22233567,384
33355558,383
22233358,383
11112223,383
22233349,383
12225557,383
22445555,383
22244558,383
22234447,383
22234555,383
34444679,382
33567789,382
34444667,382
34467789,382
22234668,382
24444678,382
12225678,382
44445669,382
44556789,382
24446689,382
15555678,382
33356789,382
24555567,382
12224667,382
12224679,382
11115589,381
34447789,381
44455789,381
15557789,381
22333789,381
22355557,381
22337789,381
15555779,381
12225779,381
44445778,381
22444459,381
22235578,381
12225556,381
22234446,381
24444779,381
22244578,381
44555578,381
22233355,380
14667789,380
22456689,380
22346789,380
12667789,380
33566789,380
34466789,380
24567789,380
22355556,379
22333689,379
22235568,379
11115789,379
44555568,379
12223677,379
22333367,379
22233467,379
22357789,379
55566778,379
44455689,379
13333589,379
22244568,379
12225567,379
24566789,378
12224449,378
22234477,378
22233577,378
22244557,378
22233357,378
22233559,378
33355557,378
33555577,378
33335559,378
22233348,378
44445577,378
24445555,378
15556689,377
15567789,377
12225669,377
23367789,377
33346789,377
34446689,377
11115689,377
44445668,377
34444678,377
33467789,377
24444669,377
12223679,377
22336689,377
12224678,377
34555567,377
15555669,377
23555567,377
12223667,377
23336789,377
22234567,377
33357789,376
33555789,376
24555577,376
44445579,376
33555579,376
22233579,376
12255589,376
22244556,376
34444779,376
22344489,376
22444458,376
44557789,376
12225778,376
22234479,376
12224779,376
15555778,376
33355556,376
22233356,376
11222677,376
12255559,376
24444778,376
34567789,375
22233444,375
23366789,375
23567789,375
33466789,375
22356689,375
13667789,375
15566789,375
44445569,374
22234466,374
24555789,374
24555579,374
11114789,374
22234469,374
33335677,374
33555689,374
33555569,374
12333389,374
22347789,374
11222679,374
22455789,374
11222667,374
33555566,374
22233566,374
44445566,374
13333489,374
22233569,374
11112789,374
12225577,373
33344489,373
22335555,373
33335558,373
22333377,373
22444455,373
11114444,373
12224448,373
22234445,373
22233558,373
22233477,373
34566789,373
34445555,373
22233347,373
23566789,373
24444555,373
33335679,372
33356689,372
15555668,372
11112689,372
33335667,372
44556689,372
22455689,372
14446789,372
12223678,372
33556789,372
24555566,372
24555569,372
12225668,372
11667789,372
24555689,372
24444668,372
11114689,372
34444669,372
12224669,372
34444778,371
23555577,371
23337789,371
12255558,371
22333589,371
22233346,371
24455559,371
22333379,371
24455589,371
22344449,371
22555677,371
12224778,371
12225579,371
22234577,371
34555577,371
22444457,371
22234478,371
33555578,371
44445578,371
22445589,371
22233578,371
22233479,371
22234559,371
33347789,371
11114489,371
12223779,371
23467789,370
22346689,370
12256789,370
24556789,370
22233344,370
22333366,369
22234468,369
22555679,369
23555789,369
22233469,369
12224467,369
44466779,369
12225569,369
23333677,369
12225566,369
44445568,369
22444456,369
11113789,369
34555789,369
22333369,369
34555579,369
24555578,369
14444677,369
11222678,369
22555667,369
33555568,369
22233466,369
22355789,369
23555579,369
22233568,369
22234579,369
33334677,369
22445789,369
33335557,368
22233449,368
11222779,368
22233557,368
12224555,368
23466789,368
34444555,368
12224447,368
33344449,368
12224668,367
23333667,367
33346689,367
23333679,367
12223669,367
23336689,367
22445689,367
22566779,367
22355689,367
33334667,367
34555689,367
14444679,367
24444567,367
33334679,367
34444668,367
33335678,367
23555569,367
23555566,367
11113689,367
14467789,367
22234569,367
22234566,367
34555566,367
24555568,367
14444667,367
34555569,367
23555689,367
12223778,366
22234558,366
24455558,366
14447789,366
22233478,366
22234459,366
33557789,366
33355789,366
22233556,366
12224446,366
33335556,366
34455559,366
34455589,366
33335779,366
22333378,366
22345555,366
12255557,366
24445589,366
22333489,366
12225578,366
22344448,366
11333389,366
34556789,365
12246789,365
24456789,365
14466789,365
23556789,365
22555678,364
44466778,364
22233468,364
33444467,364
24445789,364
11112589,364
33355689,364
23555578,364
22333368,364
34555578,364
11222669,364
33335567,364
24557789,364
11114589,364
12225568,364
22234578,364
12255556,364
12257789,364
33344448,363
22233345,363
33334449,363
11222778,363
12223339,363
12223555,363
23335555,363
22555779,363
22233448,363
12224477,363
33345555,363
34444567,362
22566778,362
33335669,362
34555568,362
23333678,362
24445689,362
33446789,362
14444678,362
12555567,362
33334678,362
12224567,362
22466779,362
33556689,362
14555567,362
12223668,362
23555568,362
22234568,362
14446689,362
22233459,361
22234458,361
33455559,361
33455589,361
14444779,361
11113389,361
22234557,361
12244489,361
22335589,361
22344447,361
34455558,361
12224479,361
34445589,361
11122267,361
22333359,361
33444789,361
23355559,361
33335778,361
24455557,361
24444559,361
23355589,361
24444577,361
23333779,361
33334779,361
12236789,360
34456789,360
12567789,360
12256689,360
11222555,360
14567789,360
24556689,360
12247789,359
34557789,359
22556779,359
22556677,359
24444579,359
24457789,359
22344789,359
11113589,359
22344446,359
24455556,359
12224466,359
11116677,359
23557789,359
12223367,359
11222668,359
45556779,359
22234556,359
22555669,359
45556677,359
25556779,359
12224469,359
34445789,359
25556677,359
11116779,359
22335789,359
11112489,359
33444689,359
11167789,359
33334448,358
12566789,358
14445555,358
33444477,358
12224445,358
33335577,358
14566789,358
12223338,358
33344447,358
22233447,358
22555778,358
22234455,358
13336789,357
23444467,357
11116679,357
25556679,357
22344689,357
34445689,357
11166789,357
22366779,357
13367789,357
33334669,357
45556679,357
22335689,357
12223567,357
24444569,357
24444566,357
33335668,357
13555567,357
14444669,357
11226789,357
22466778,357
23333669,357
22556679,357
14555577,356
22233446,356
14444778,356
33334778,356
12224478,356
23333778,356
22233458,356
22234457,356
12555577,356
33344446,356
12244449,356
34444577,356
34444559,356
12224559,356
12224577,356
33335579,356
33444479,356
33344789,356
34455557,356
24444558,356
33455558,356
33447789,356
22444677,356
22333358,356
22333349,356
23355558,356
12246689,355
23446789,355
33456789,355
13567789,355
23556689,355
23356789,355
34556689,355
24456689,355
13366789,355
11122277,355
12467789,355
33335566,354
24444578,354
12224468,354
23455559,354
23455589,354
22234456,354
23444789,354
34444579,354
22334789,354
12224579,354
34455556,354
34457789,354
33344689,354
12237789,354
12555579,354
33335569,354
35556677,354
35556779,354
11222567,354
22345589,354
12255789,354
14555789,354
14555579,354
12555789,354
11112389,354
11113489,354
11116778,354
25556778,354
33334467,354
45556778,354
22555668,354
33366779,354
11555567,354
33444469,354
33444466,354
22556778,354
22444679,354
22444667,354
11122279,353
22334444,353
11113333,353
12223377,353
33334555,353
23333555,353
22333355,353
22233455,353
33334447,353
12223337,353
13566789,353
14444555,353
12466789,353
11567789,352
14555566,352
14555569,352
23444689,352
33334668,352
23333668,352
35556679,352
12255689,352
22556678,352
34444566,352
34444569,352
11116678,352
45556678,352
12224569,352
24444568,352
14444668,352
12555689,352
14555689,352
12555569,352
12555566,352
12223467,352
33446689,352
25556678,352
22366778,352
22334689,352
22345789,352
12224566,352
33335578,351
33455557,351
13555577,351
12223379,351
11227789,351
33444589,351
34444558,351
22344445,351
22333348,351
22333357,351
44455567,351
12223336,351
33444478,351
24444557,351
13337789,351
23444477,351
22334489,351
11122266,351
11122269,351
23355557,351
33334446,351
33345589,351
12244448,351
12245555,351
14455559,351
14455589,351
12223577,351
12224459,351
23335589,351
12223559,351
12224558,351
22233457,351
12556789,350
11566789,350
12236689,350
12367789,350
23346789,350
14556789,350
13467789,350
22345689,350
34456689,350
33444468,349
14555578,349
12224578,349
44456677,349
23355556,349
33457789,349
23357789,349
11222467,349
24455789,349
35556778,349
33335568,349
23447789,349
12223579,349
23335789,349
23444479,349
34444578,349
13333677,349
24444556,349
33455556,349
12555578,349
12223369,349
13555789,349
22344589,349
12223366,349
33345789,349
22233456,349
44456779,349
22446779,349
13555579,349
33366778,349
23455558,349
22444678,349
22333356,349
22446677,349
11555577,348
12366789,348
33344445,348
33334477,348
22233445,348
23456789,348
13466789,348
12223444,348
11122278,348
11222577,348
11222559,348
22444779,348
33445555,348
12223566,347
12223569,347
13336689,347
44456679,347
23444469,347
12224568,347
12555568,347
23444466,347
33345689,347
45566779,347
13333667,347
23335689,347
25566779,347
13555569,347
24455689,347
13555566,347
14555568,347
14444567,347
11226689,347
33334567,347
11467789,347
23333567,347
22446679,347
35556678,347
11267789,347
34444568,347
13555689,347
13333679,347
34444557,346
11122268,346
11222579,346
12224458,346
14455558,346
12223378,346
11555789,346
14445589,346
44555677,346
12244447,346
23344489,346
12223558,346
33444459,346
33334479,346
33344589,346
12223477,346
22333347,346
12224557,346
12233389,346
12235555,346
11555579,346
11266789,345
11222444,345
23446689,345
23356689,345
13556789,345
11466789,345
14456789,345
33456689,345
44455577,345
44555679,344
14445789,344
44456778,344
14557789,344
24446677,344
24446779,344
23347789,344
13555578,344
22333346,344
44555667,344
34455789,344
12223578,344
23444478,344
34444556,344
33334466,344
11555569,344
33334469,344
11112267,344
22334589,344
23444589,344
11555566,344
11555689,344
11222367,344
11222566,344
12223368,344
11222569,344
12244446,344
12557789,344
12224556,344
23455557,344
22444669,344
23334789,344
12223479,344
22446778,344
12244789,344
22455567,344
22444778,343
22333344,343
23334444,343
11222558,343
11115559,343
44455579,343
12223335,343
12224455,343
11225555,343
11222477,343
11155589,343
33334445,343
11155559,343
13335555,343
11122259,343
22456779,342
34455689,342
12223568,342
35566779,342
13333678,342
14445689,342
13555568,342
24446679,342
11556789,342
23334689,342
12444467,342
25566778,342
12223466,342
12244689,342
12266779,342
11367789,342
23457789,342
12223469,342
23444468,342
45566778,342
44456678,342
23333467,342
22456677,342
22446678,342
44566779,342
23455556,342
12223449,341
12224457,341
44455566,341
33334478,341
23334489,341
33334577,341
14444559,341
23333559,341
33334559,341
14444577,341
44455677,341
44455569,341
11222578,341
33444458,341
12223359,341
23333577,341
23344449,341
13333779,341
12223557,341
13355589,341
13355559,341
11222479,341
22333677,341
11555578,341
23445555,341
14455557,341
22444555,340
11366789,340
23346689,340
14556689,340
12446789,340
12556689,340
22456679,340
14455556,339
12245589,339
14457789,339
15556677,339
23444459,339
22355567,339
22333679,339
22444668,339
12224456,339
33334468,339
13557789,339
12223556,339
12444789,339
11115677,339
34446779,339
34446677,339
11555568,339
23355789,339
22336677,339
22336779,339
11222466,339
23333579,339
11222469,339
33334579,339
11222568,339
12455559,339
12455589,339
44455667,339
24446778,339
44555678,339
15556779,339
14444579,339
44455679,339
33455789,339
12223478,339
22333667,339
23456689,338
44555779,338
23333444,338
11122249,338
11112277,338
11122258,338
12223334,338
11222557,338
11155558,338
33444455,338
11222449,338
22455577,338
11115558,338
44455578,338
11222377,338
11115667,337
11115679,337
22336679,337
12266778,337
33334569,337
44566778,337
13333669,337
33334566,337
34446679,337
12444689,337
13444467,337
23355689,337
14444566,337
12245789,337
22356779,337
24466779,337
23333569,337
15556679,337
22356677,337
14444569,337
33455689,337
23333566,337
11156789,337
22456778,337
24446678,337
35566778,337
12223468,337
12244445,336
11222556,336
33355567,336
33445589,336
33334558,336
